moody_lighting,图片属性>光照>氛围光照
style_of_stardew_valley,图片属性>艺术风格>星露谷物语
style_of_super_mario,图片属性>艺术风格>超级马里奥
style_of_the_legend_of_zelda,图片属性>艺术风格>塞尔达传说
style_of_the_matrix,图片属性>艺术风格>黑客帝国
style_of_the_simpsons,图片属性>艺术风格>辛普森一家
style_of_tomb_raider,图片属性>艺术风格>古墓丽影
style_of_undertale,图片属性>艺术风格>undertale传说之下
style_of_unreal_torunament,图片属性>艺术风格>虚幻竞技场
style_of_vaporwave,图片属性>艺术风格>蒸汽波音乐
style_of_visual_novel,图片属性>艺术风格>视觉小说
kyoto_animation,图片属性>艺术风格>京都动画
studio_ghibli,图片属性>艺术风格>吉普力工作室|吉卜力工作室
idolmaster,图片属性>艺术风格>偶像大师
fate_grand_order,图片属性>艺术风格>FGO
mahou_shoujo_madoka_magica,图片属性>艺术风格>魔法少女小圆
girls'_frontline,图片属性>艺术风格>少女前线
umamusume,图片属性>艺术风格>赛马娘
kemono_friends,图片属性>艺术风格>兽娘动物园|kemono_朋友
k-on!,图片属性>艺术风格>轻音少女
danganronpa,图片属性>艺术风格>弹丸论破
princess_connect!,图片属性>艺术风格>公主链接|公主连接！
dutch_angle,图片属性>角度/透视/深度>倾斜镜头|德式倾斜镜头|荷兰角
fisheye,图片属性>角度/透视/深度>鱼眼镜头
from_above,图片属性>角度/透视/深度>俯视视角|俯视镜头|从上面
from_behind,图片属性>角度/透视/深度>侧视视角|背影|从后面
from_below,图片属性>角度/透视/深度>仰视视角|仰视镜头|从下面
perspective,图片属性>角度/透视/深度>透视强调镜头|用了透视画法
pov,图片属性>角度/透视/深度>第一人称视角|主观视角
vanishing_point,图片属性>角度/透视/深度>中心消失点(需与场景描述配合)|远景透视画法
border,图片属性>图像构成>假边框
out-of-frame_censoring,图片属性>图像构成>“摄像师可以滚蛋了”|帧外审查
lineup,图片属性>图像构成>人物排成一排|一排人|阵容
negative_space,图片属性>图像构成>负空间
partially_underwater_shot,图片属性>图像构成>部分画面在水下|部分水下拍摄
zoom_layer,图片属性>图像构成>放大图层(低概率刷)|缩放图层
artbook,图片属性>图片格式>原画|画册
game_cg,图片属性>图片格式>游戏CG|游戏 CG|游戏cg
comic,图片属性>图片格式>漫画
4koma,图片属性>图片格式>四格
lowres,图片属性>图片格式>低分辨率
highres,图片属性>图片格式>高分辨率
absurdres,图片属性>图片格式>超高分辨率|荒谬
incredibly_absurdres,图片属性>图片格式>极高分辨率|难以置信的荒谬
huge_filesize_,图片属性>图片格式>超级高分辨率/大文件
album_cover,图片属性>图片格式>专辑封面
doujin_cover,图片属性>图片格式>同人志封面|同人封面
dvd_cover,图片属性>图片格式>dvd封面|DVD_封面
magazine_cover,图片属性>图片格式>杂志封面
manga_cover,图片属性>图片格式>漫画封面
cityscape,图片属性>主题>城市景观|城市风景
landscape,图片属性>主题>景观|风景
nature,图片属性>主题>自然
no_humans,图片属性>主题>没有人类|非人|无人
scenery,图片属性>主题>风景
still_life,图片属性>主题>静物
science_fiction,图片属性>主题>科幻|科幻小说
portrait,图片属性>构图>人像|半身像|肖像
upper_body,图片属性>构图>上半身
lower_body,图片属性>构图>下半身
cowboy_shot,图片属性>构图>腿部以上|七分身镜头|牛仔射击
very_wide_shot,图片属性>构图>超广角|非常宽的镜头
close-up,图片属性>构图>特写|特写镜头
profile,图片属性>构图>侧脸|个人资料
depth_of_field,图片属性>构图>景深|背景虚化
face,图片属性>构图>仅脸部
aqua_theme,图片属性>颜色>青色主题|水色主题
blue_theme,图片属性>颜色>蓝色主题
brown_theme,图片属性>颜色>棕色主题
green_theme,图片属性>颜色>绿色主题
purple_theme,图片属性>颜色>紫色主题
red_theme,图片属性>颜色>红色主题
yellow_theme,图片属性>颜色>黄色主题
flat_color,图片属性>颜色>扁平画风|平涂风格|纯色
greyscale,图片属性>颜色>灰白图|纯黑白色/黑白照片化/灰度
colorful,图片属性>颜色>色彩丰富的|多彩
anime_coloring,图片属性>颜色>动漫着色
high_contrast,图片属性>颜色>黑白图|高对比度
monochrome,图片属性>颜色>单色
muted_color,图片属性>颜色>褪色的|柔和的颜色
partially_colored,图片属性>颜色>部分着色|部分上色|部分彩色
pastel_colors,图片属性>颜色>柔和的颜色
gradient,图片属性>颜色>渐变色|(身体或肢体)倾斜
angry,人物属性>情绪>生气的
anger_vein,人物属性>情绪>青筋凸起|怒脉
annoyed,人物属性>情绪>恼火|苦恼的|生气
clenched_teeth,人物属性>情绪>咬牙|咬紧牙关
blush,人物属性>情绪>脸红|脸红的
blush_stickers,人物属性>情绪>2D脸红|腮红贴
embarrassed,人物属性>情绪>尴尬的
bored,人物属性>情绪>无聊的
closed_eyes,人物属性>情绪>闭上眼睛
confused,人物属性>情绪>困惑的
disgust,人物属性>情绪>厌恶
drunk,人物属性>情绪>醉|喝醉的|喝醉了
